412021093001001              31.12.20093           31.12.2009401.12.201300431.12.200900131.12.200902                                                                                                                        
612021093001001000            31.12.20040531.12.201021            31.12.199300            31.12.20130131.12.201000010            31.12.2006  F02    31.12.201900100121608                                                   
412021093001002              31.12.20092           31.12.2009101.12.201300631.12.200900331.12.200901                                                                                                                        
612021093001002000            31.12.20040331.12.201012            31.12.199322            31.12.20130131.12.201000010            31.12.2006  F02    31.12.201900200221608                                                   
412021093001003              31.12.20092           31.12.2009101.12.201300531.12.200900431.12.200901                                                                                                                        
612021093001003000            31.12.20040231.12.201012            31.12.199330            31.12.20130131.12.201000010            31.12.2006  F02    31.12.201900300321608                                                   
412021093001004              31.12.20092           31.12.2009301.12.201300631.12.200900331.12.200902                                                                                                                        
612021093001004000            31.12.20040331.12.201021            31.12.199300            31.12.20130131.12.201000010            31.12.2006  F04    31.12.201900400421608                                                   
412021093001051              31.12.20093           31.12.2009401.12.201300231.12.200900231.12.200902                                                                                                                        
612021093001051001            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201300050            31.12.2006  F04    31.12.201900000055202                                                   
612021093001051002            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900700734505                                                   
612021093001051003            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900500544404                                                   
612021093001051004            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900000055101                                                   
612021093001051005            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900700734505                                                   
612021093001051006            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F01    31.12.201900000055101                                                   
612021093001051008            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900700734505                                                   
612021093001051010            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900500544404                                                   
612021093001051011            31.12.20040431.12.201030            31.12.199300            31.12.20130231.12.201300030            31.12.2006  F01    31.12.201900500543404                                                   
612021093001051012            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900500544404                                                   
612021093001051013            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201300050            31.12.2006  F01    31.12.201900600642303                                                   
612021093001051014            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F01    31.12.201900600644303                                                   
612021093001051015            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900000055101                                                   
612021093001051016            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201300050            31.12.2006  F04    31.12.201900000055202                                                   
612021093001051017            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201300090            31.12.2006  F01    31.12.201900000055101                                                   
612021093001051019            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900700734505                                                   
612021093001051020            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900700734505                                                   
612021093001051021            31.12.20040431.12.201040            31.12.199300            31.12.20170231.12.201000090            31.12.2006  F04    31.12.201900800844303                                                   
612021093001051022            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900500544404                                                   
612021093001051023            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900000055101                                                   
612021093001051024            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900500543404                                                   
612021093001051026            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201300090            31.12.2006  F04    31.12.201900000055101                                                   
612021093001051027            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F01    31.12.201900900944303                                                   
612021093001051028            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900900944303                                                   
612021093001051030            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201300090            31.12.2006  F04    31.12.201900700734505                                                   
612021093001051032            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900000055101                                                   
612021093001051033            31.12.20040431.12.201350            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900000055101                                                   
612021093001051034            31.12.20040431.12.201040            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F01    31.12.201900000055202                                                   
612021093001051035            31.12.20040431.12.201050            31.12.199300            31.12.20130331.12.201000090            31.12.2006  F04    31.12.201900700734505                                                   
